0,1,2,3,4,5,6,7
0.0,0.1371,0.2874,0.4176,7.7537,8.2883,9.2304,642.243
0.0,0.1353,0.2851,0.4159,7.6891,8.1314,8.94,644.096
0.0,0.1459,0.2851,0.4189,8.9745,9.0659,9.2999,614.29
0.0,0.2839,0.3046,0.4215,10.774,10.5261,10.1531,534.21
0.0,0.2676,0.301,0.4207,12.0175,11.7193,11.0496,541.573
0.0,0.2668,0.3007,0.4214,14.707,14.0499,12.5838,558.332
0.0236,0.2837,0.4229,0.4292,16.4172,15.6832,13.979,449.667
0.4704,0.2836,0.4229,0.4292,16.8565,16.2805,14.8297,429.321
0.3664,0.2773,0.4186,0.4292,16.0291,15.7253,14.8859,463.362
0.2853,0.2692,0.4117,0.4287,15.1856,15.0419,14.6128,476.811
0.2222,0.2673,0.4102,0.4288,14.7172,14.6247,14.3534,491.533
0.1731,0.2537,0.3988,0.4269,15.0109,14.8373,14.4128,494.79
0.1348,0.2404,0.3868,0.4245,15.9944,15.6582,14.8852,512.803
0.105,0.2365,0.3837,0.4247,18.2965,17.6116,16.0918,529.078
0.0817,0.2277,0.3781,0.4235,19.1995,18.5376,17.0017,534.543
0.0637,0.2078,0.3634,0.4197,20.1222,19.4228,17.8163,544.601
0.0496,0.2057,0.3624,0.4198,20.844,20.1218,18.5069,570.075
0.0386,0.2003,0.3622,0.422,20.8958,20.2806,18.8767,545.654
0.0301,0.1899,0.3567,0.4204,20.2573,19.8284,18.8182,559.664
0.0234,0.1816,0.353,0.4193,19.1324,18.9168,18.3667,580.165
0.0182,0.1744,0.3496,0.4184,17.8947,17.857,17.6927,588.925
0.0142,0.1641,0.345,0.417,17.4806,17.4195,17.2551,596.66
0.0111,0.1493,0.3381,0.4149,18.3571,18.0419,17.4364,607.297
0.0086,0.1415,0.3355,0.4145,19.466,18.9347,17.9551,621.903
0.0067,0.1285,0.3287,0.4125,20.0126,19.442,18.3899,628.616
0.0052,0.1242,0.3227,0.4109,20.5599,19.9166,18.7935,643.062
0.0041,0.1205,0.3156,0.4089,20.7554,20.1349,19.0584,652.242
0.0032,0.1183,0.3105,0.4076,20.6421,20.094,19.145,662.508
0.0025,0.1172,0.3076,0.41,20.9033,20.3074,19.3079,660.865
0.0019,0.117,0.307,0.4129,23.5434,22.3381,20.4517,654.119
0.0015,0.1147,0.2998,0.4109,23.3876,22.4601,20.9089,655.257
0.0012,0.1142,0.2981,0.4122,21.8594,21.3901,20.5348,661.904
0.0009,0.1134,0.2954,0.4149,21.1852,20.809,20.1464,639.893
0.0007,0.1121,0.2904,0.4136,20.1681,19.9748,19.5985,649.453
0.0006,0.1104,0.284,0.4118,19.4663,19.339,19.0873,662.828
0.0004,0.109,0.2784,0.41,19.2325,19.0593,18.7615,672.597
0.0003,0.1072,0.2707,0.4078,19.4696,19.166,18.691,681.192
0.0003,0.1058,0.2639,0.4059,19.7423,19.3479,18.7417,692.26
0.0002,0.1041,0.2576,0.4035,19.9485,19.5034,18.823,701.375
0.0002,0.1024,0.2528,0.4008,20.5147,19.93,19.0623,711.829
